,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Symbol,Sector,Industry,Day Change,Weighted Sector Change,Weighted Industry Change
1838,2018-08-07,35.75,36.150001525878906,35.45000076293945,35.79999923706055,266500,0,0,ECPG,Finance,Finance Companies,0.0013985800576376748,-0.0002449765107185794,-0.001484999833005055
1839,2018-08-08,35.900001525878906,36.0,35.150001525878906,35.54999923706055,307900,0,0,ECPG,Finance,Finance Companies,-0.009749366962172868,-0.002757741212603122,0.0006614327457627157
1840,2018-08-09,39.95000076293945,40.29999923706055,38.09999847412109,40.0,1848900,0,0,ECPG,Finance,Finance Companies,0.0012515453343102268,0.006789111239085999,-0.0022133656444111496
1841,2018-08-10,39.650001525878906,40.84999847412109,39.09999847412109,39.84999847412109,874600,0,0,ECPG,Finance,Finance Companies,0.005044059030152765,0.009063050537799867,0.0031044822572513144
1842,2018-08-13,39.900001525878906,39.900001525878906,38.95000076293945,39.25,402600,0,0,ECPG,Finance,Finance Companies,-0.016290764436620864,-0.004587499615831035,-0.018369132403050815
1843,2018-08-14,39.45000076293945,40.150001525878906,39.45000076293945,39.59999847412109,307000,0,0,ECPG,Finance,Finance Companies,0.0038022232770790207,0.005477409861499061,-0.0033864010956446617
1844,2018-08-15,39.25,39.75,38.959999084472656,39.45000076293945,319500,0,0,ECPG,Finance,Finance Companies,0.005095560839221735,0.0019167706119758412,0.005724411724933644
1845,2018-08-16,39.650001525878906,40.650001525878906,39.59999847412109,40.400001525878906,606300,0,0,ECPG,Finance,Finance Companies,0.0189155099908505,0.00957582546199298,0.015791412499749493
1846,2018-08-17,40.29999923706055,41.150001525878906,40.09999847412109,40.150001525878906,226900,0,0,ECPG,Finance,Finance Companies,-0.0037220276432089914,0.002568848209644622,-0.0018498247744406378
1847,2018-08-20,40.29999923706055,40.84999847412109,39.79999923706055,40.5,357000,0,0,ECPG,Finance,Finance Companies,0.004962798181780835,-0.0026134327142310313,0.0070161192874801034
1848,2018-08-21,40.54999923706055,41.5,40.150001525878906,40.29999923706055,415800,0,0,ECPG,Finance,Finance Companies,-0.006165228229437629,0.007432285783079499,-0.007484344694548149
1849,2018-08-22,40.34999847412109,40.54999923706055,39.79999923706055,40.09999847412109,344000,0,0,ECPG,Finance,Finance Companies,-0.00619578709923224,-0.0006951653856236085,0.005243888462707715
1850,2018-08-23,40.04999923706055,40.04999923706055,39.29999923706055,39.400001525878906,350500,0,0,ECPG,Finance,Finance Companies,-0.016229656019073297,-0.0010105055368477523,-0.01562502320362073
1851,2018-08-24,39.400001525878906,40.09999847412109,39.04999923706055,40.0,412600,0,0,ECPG,Finance,Finance Companies,0.01522838707828475,0.004711192569609268,0.011732933735622968
1852,2018-08-27,39.79999923706055,40.08000183105469,39.650001525878906,39.79999923706055,367500,0,0,ECPG,Finance,Finance Companies,0.0,-0.0027531170049112743,-0.0007095557227851052
1853,2018-08-28,39.900001525878906,40.04999923706055,38.650001525878906,38.70000076293945,355800,0,0,ECPG,Finance,Finance Companies,-0.03007520594106092,-0.05230619089296495,-0.02960200004398092
1854,2018-08-29,38.70000076293945,39.150001525878906,38.16999816894531,38.54999923706055,309100,0,0,ECPG,Finance,Finance Companies,-0.003876008344231177,-0.04528558222648145,-0.003415233658887574
1855,2018-08-30,38.79999923706055,38.95000076293945,37.650001525878906,38.25,300500,0,0,ECPG,Finance,Finance Companies,-0.014175238347304006,-0.007321092427102823,-0.013111213211137016
1856,2018-08-31,38.25,38.79999923706055,37.95000076293945,38.75,374000,0,0,ECPG,Finance,Finance Companies,0.013071895424836602,0.0017697357967544423,0.011841149359817942
1857,2018-09-04,38.79999923706055,39.0,37.900001525878906,39.0,194900,0,0,ECPG,Finance,Finance Companies,0.0051546589400037575,-0.012489082009868719,0.004810278124425637
1858,2018-09-05,38.900001525878906,38.900001525878906,38.04999923706055,38.54999923706055,321200,0,0,ECPG,Finance,Finance Companies,-0.008997487791498266,0.003121792399149284,-0.0077061617817356
1859,2018-09-06,38.650001525878906,38.75,38.0,38.20000076293945,269000,0,0,ECPG,Finance,Finance Companies,-0.011642968827262422,-0.01076558319444039,-0.010507717544790098
1860,2018-09-07,38.25,38.5,37.70000076293945,38.20000076293945,232300,0,0,ECPG,Finance,Finance Companies,-0.0013071695963541667,-0.013411021438506879,0.0017295165405150062
1861,2018-09-10,38.400001525878906,38.400001525878906,37.34999847412109,37.45000076293945,325400,0,0,ECPG,Finance,Finance Companies,-0.02473960221848479,-0.011780748026707059,-0.019836802268623145
