Date,Weighted Industry Change,TRI Change,CMPR Change
2011-08-09,0.0389469477418157,0.0355227701247333,0.0454710807714625
2011-08-10,-0.0174311809768464,-0.011206333252404,-0.0263626568993021
2011-08-11,0.0313950080958939,0.0412133202487414,0.0188610976974835
2011-08-12,-0.0105441845123449,-0.0115950778330939,-0.0084506962796426
2011-08-15,0.0108704601893042,0.013207609865383,0.0063380389997726
2011-08-16,-0.0102522927886664,-0.0072600864905534,-0.0141492611267511
2011-08-17,-0.0170143615727013,-0.00663923775038,-0.0313725199537231
2011-08-18,-0.0092489420237312,-0.0058919280629239,-0.0123688125911316
2011-08-19,-0.0070336377717065,-0.0093834009790118,-0.0019193565652552
2011-08-22,-0.0178963604455642,-0.0234865727827972,-0.0094984803532943
2011-08-23,0.039204248213308,0.0316925333409815,0.0537757392958422
