Date,Weighted Industry Change,APO Change,VRTS Change
2011-08-09,0.086445835734547,0.0918919344852983,0.0467196763801986
2011-08-10,-0.0261387322332747,-0.0278571673801967,-0.0125247549836554
2011-08-11,0.0239800476354041,0.0225393859956906,0.0400728929972037
2011-08-12,-0.0483225628977696,-0.04939159061336,-0.0229068053778191
2011-08-15,0.0132975279587148,0.0129179390778925,0.0207969731446895
2011-08-16,0.0536757743121561,0.0630157657461072,-0.0319987204167783
2011-08-17,0.0242853021294083,0.0299571404355448,-0.0267612426258204
2011-08-18,0.0089435450516682,0.0264316930765133,-0.0484286401681794
2011-08-19,0.0019143558810403,0.0021708167371916,0.000548393246138
2011-08-22,-0.0432164315148237,-0.0523297170048337,0.0042320875038155
2011-08-23,0.0070746225936971,-0.0014958492341467,0.0586792514480181
2011-08-24,-0.0129505067210407,-0.0164178596729409,0.0263461600671608
