Date,Weighted Industry Change,ILMN Change,COHR Change
2011-08-10,-0.0442967505985196,-0.0456056356658419,-0.0292945876175296
2011-08-11,0.0167241754906732,0.0117624489620581,0.0801151418232021
2011-08-12,-0.0160309283902818,-0.01665722198779,-0.0070159984771321
2011-08-15,0.030905284626598,0.0308688823554765,0.0315581545693894
2011-08-16,-0.0220573581751997,-0.0214551817895455,-0.0283079490582899
2011-08-17,-0.0204476244721405,-0.0202251741342709,-0.0241970632704392
2011-08-18,-0.0622335735882003,-0.0615660537385136,-0.0714616734431388
2011-08-19,0.0044739707800232,0.0051557826509204,0.0005111284747695
2011-08-22,-0.023485188347295,-0.0209612084133984,-0.0311177509827808
2011-08-23,0.0666993502618382,0.0678971713151182,0.0569458516579564
2011-08-24,0.0178812633179918,0.0188160550529374,0.0051008722008719
