Date,Weighted Industry Change,VLO Change,MPC Change
2011-08-19,-0.0125804747876401,-0.0058109542279742,-0.0220792936775388
2011-08-22,-0.0521070058715281,-0.0282196287987488,-0.0907314357255453
2011-08-23,0.04989299936388,0.0500782571412428,0.0496475292324694
2011-08-24,0.0267275179261544,0.0168985632990639,0.0415697744693411
2011-08-25,-0.0298521643704988,-0.0184555605089454,-0.0500137504083223
2011-08-26,0.032543400280812,0.0440220388377992,0.0136627146848317
2011-08-29,0.0223858319108509,0.0231022748402063,0.0206974633615474
2011-08-30,0.0158908386966345,0.0204082244953086,0.0039007910846835
2011-08-31,0.0175382810622191,0.0183773914164204,0.0150644502066006
2011-09-01,-0.0145340854685676,-0.0157549041506502,-0.0112209986700026
2011-09-02,-0.0005920340355789,0.0032006585651248,-0.0114430265463736
