Date,Weighted Industry Change,ING Change
2011-09-22,-0.0129659518179629,-0.0129659518179629
2011-09-23,0.0688468329271736,0.0688468329271736
2011-09-26,0.0471841605296564,0.0471841605296564
2011-09-27,-0.013586943317733,-0.013586943317733
2011-09-28,-0.0472972838002633,-0.0472972838002633
2011-09-29,0.0025773170536872,0.0025773170536872
2011-09-30,-0.0221913795513974,-0.0221913795513974
2011-10-03,-0.0344311414646682,-0.0344311414646682
2011-10-04,0.0708661878520663,0.0708661878520663
2011-10-05,0.0447976790985186,0.0447976790985186
2011-10-06,0.047748964294069,0.047748964294069
2011-10-07,-0.0501930331329411,-0.0501930331329411
2011-10-10,0.0321336139358535,0.0321336139358535
2011-10-11,0.0245161364155429,0.0245161364155429
2011-10-12,0.0,0.0
2011-10-13,-0.0048250858910844,-0.0048250858910844
