Date,Weighted Industry Change,UEIC Change
2011-09-19,-0.0029290707647585,-0.0029290707647585
2011-09-20,-0.0298245741230797,-0.0298245741230797
2011-09-21,-0.0689238956405901,-0.0689238956405901
2011-09-22,-0.0162381444826939,-0.0162381444826939
2011-09-23,0.0801919166591932,0.0801919166591932
2011-09-26,0.0581250190734863,0.0581250190734863
2011-09-27,-0.0225695186053131,-0.0225695186053131
2011-09-28,-0.0414938190940399,-0.0414938190940399
2011-09-29,0.0168269649588865,0.0168269649588865
2011-09-30,-0.0156156297200436,-0.0156156297200436
2011-10-03,-0.0343136934077261,-0.0343136934077261
2011-10-04,0.1267516400616839,0.1267516400616839
2011-10-05,-0.0204080904455237,-0.0204080904455237
2011-10-06,0.0046296250305059,0.0046296250305059
2011-10-07,-0.0171920419078906,-0.0171920419078906
