Date,Weighted Industry Change,CLB Change,HAL Change
2011-08-10,-0.0159349760338027,0.0224524949468728,-0.0176951579308831
2011-08-11,0.0320200515378039,0.0410160260265052,0.0317061903469535
2011-08-12,-0.0144199871960349,0.005548728747584,-0.0151580935104714
2011-08-15,0.0340559656974368,0.0278754807673622,0.0343105723611632
2011-08-16,-0.0226128307699797,0.0,-0.0236019697887
2011-08-17,-0.025025924043048,0.0081322990943309,-0.0261409353732877
2011-08-18,-0.064115942241711,-0.0145910754376248,-0.0654312667640281
2011-08-19,-0.0486268237121231,-0.0048427928844284,-0.0497126636136381
2011-08-22,-0.0599814717602729,-0.0387640381212545,-0.0609417835492112
2011-08-23,0.0691986740071564,0.0263948909340881,0.0708577459387295
2011-08-24,0.0070778982700301,-0.0059433703152639,0.0076923419146353
2011-08-25,-0.0322171673445745,-0.0381931631157198,-0.0320388269509837
