Date,Weighted Industry Change,JOUT Change
2011-09-21,0.043536477243402,0.043536477243402
2011-09-22,-0.0249839460746951,-0.0249839460746951
2011-09-23,-0.0162548763419881,-0.0162548763419881
2011-09-26,0.0103896626655694,0.0103896626655694
2011-09-27,0.0282841462762583,0.0282841462762583
2011-09-28,-0.0105459690519684,-0.0105459690519684
2011-09-29,-0.0081199320788514,-0.0081199320788514
2011-09-30,-0.0077419281005859,-0.0077419281005859
2011-10-03,-0.0454250367421446,-0.0454250367421446
2011-10-04,0.1022342709602368,0.1022342709602368
2011-10-05,0.048495946211132,0.048495946211132
2011-10-06,-0.0194285801478794,-0.0194285801478794
2011-10-07,0.0040983428066099,0.0040983428066099
2011-10-10,-0.0238927652131615,-0.0238927652131615
2011-10-11,0.0174384203344708,0.0174384203344708
