Date,Weighted Industry Change,FIX Change
2011-09-20,-0.0376175201836156,-0.0376175201836156
2011-09-21,-0.0639219098780825,-0.0639219098780825
2011-09-22,0.0130953113508366,0.0130953113508366
2011-09-23,0.0152224959041697,0.0152224959041697
2011-09-26,1.12740844052369e-16,1.12740844052369e-16
2011-09-27,-0.0022222730848524,-0.0022222730848524
2011-09-28,-0.0457078969015366,-0.0457078969015366
2011-09-29,0.0022804450450912,0.0022804450450912
2011-09-30,-0.0336817623015962,-0.0336817623015962
2011-10-03,-0.048309134230701,-0.048309134230701
2011-10-04,0.1289910905138025,0.1289910905138025
2011-10-05,0.0089988662110841,0.0089988662110841
2011-10-06,0.0662921548175662,0.0662921548175662
2011-10-07,-0.0528541224084329,-0.0528541224084329
2011-10-10,0.0576714592867698,0.0576714592867698
