Date,Weighted Industry Change,BRO Change,AJG Change
2011-08-10,-0.0222896626352295,-0.0231822253593765,-0.0186843689998611
2011-08-11,0.0538079532908485,0.0542426571434454,0.052382826139346
2011-08-12,-0.0201952217109642,-0.0201511138963844,-0.0203326895590817
2011-08-15,0.0179853635074349,0.0188871326698733,0.0142162766413368
2011-08-16,0.0034849412891877,0.0045639024199632,-0.0007402093791573
2011-08-17,0.0058825498426415,0.0095573713319156,-0.0084620875516519
2011-08-18,-0.0152134229335561,-0.0174359052609174,-0.0087486284357305
2011-08-19,0.0096906781385784,0.0105485639555355,0.0054495674090327
2011-08-22,-0.0167121012594792,-0.0168024406294016,-0.0163064198517591
2011-08-23,0.0318634882140037,0.0288958409464071,0.0387418581014541
2011-08-24,0.0121640113361903,0.0115577661630786,0.0140221090559994
