Date,Weighted Industry Change,CFX Change
2011-09-20,-0.0132232062844771,-0.0132232062844771
2011-09-21,-0.0083647329241242,-0.0083647329241242
2011-09-22,0.0076818835400288,0.0076818835400288
2011-09-23,-0.0152946540525966,-0.0152946540525966
2011-09-26,0.0050251536509213,0.0050251536509213
2011-09-27,-0.0266785410216076,-0.0266785410216076
2011-09-28,-0.0410958737080871,-0.0410958737080871
2011-09-29,0.0197090608549844,0.0197090608549844
2011-09-30,-0.0642032061958437,-0.0642032061958437
2011-10-03,-0.0421898623317706,-0.0421898623317706
2011-10-04,0.0529380641773864,0.0529380641773864
2011-10-05,0.03217703954934,0.03217703954934
2011-10-06,0.0624390578851467,0.0624390578851467
2011-10-07,-0.0197428967685679,-0.0197428967685679
2011-10-10,0.0137615208673571,0.0137615208673571
2011-10-11,0.0018306181913221,0.0018306181913221
