Date,Weighted Industry Change,NSIT Change
2011-09-21,-0.0324189793069332,-0.0324189793069332
2011-09-22,0.0112806954038844,0.0112806954038844
2011-09-23,0.0196979776593487,0.0196979776593487
2011-09-26,-0.0063734499980762,-0.0063734499980762
2011-09-27,-0.0018820410138599,-0.0018820410138599
2011-09-28,-0.035175905586243,-0.035175905586243
2011-09-29,0.0006340694303909,0.0006340694303909
2011-09-30,-0.0206985571820589,-0.0206985571820589
2011-10-03,-0.0763105269952489,-0.0763105269952489
2011-10-04,0.1070137746981305,0.1070137746981305
2011-10-05,0.000655752713563,0.000655752713563
2011-10-06,0.0438481732986041,0.0438481732986041
2011-10-07,-0.0610972842876814,-0.0610972842876814
2011-10-10,0.0227272980610067,0.0227272980610067
2011-10-11,-0.0044757446906591,-0.0044757446906591
