Date,Weighted Industry Change,ARLP Change,BBL Change
2011-08-09,0.0320716253169782,0.0922690061394942,0.0252557222134586
2011-08-10,-0.0309731209991854,0.0282592100348373,-0.0330203486749452
2011-08-11,0.0427333985358225,-0.0008473034975619,0.0452488556678987
2011-08-12,-0.003789136385294,-0.0222069049703664,-0.0021312130376812
2011-08-15,0.0118767893165753,0.0259447830624854,0.0106366904040845
2011-08-16,0.0073377208244005,-0.0043787587138269,0.007970635951687
2011-08-17,0.0006618043350604,-0.0038487804714347,0.00104915607829
2011-08-18,-0.0154782397143656,0.0043643187937672,-0.0177896892312933
2011-08-19,-0.003327621863145,-0.025103439179982,-0.0008199284590994
2011-08-22,-0.0264201477537415,-0.0311585318080796,-0.0259822467902483
2011-08-23,0.0308223243045245,0.0415976216986195,0.0298772988295433
2011-08-24,0.0121164259499066,0.0033193206018205,0.0127820954228147
