Date,Weighted Industry Change,APOG Change,THRM Change
2011-08-10,-0.0629137916850816,-0.0745967505470649,-0.0549110612056802
2011-08-11,0.0327897868292459,0.0313852780342584,0.0341463471366704
2011-08-12,0.0056076053998114,-0.0239084766083614,0.0331790357955325
2011-08-15,-0.0024613754935395,0.0074547063114853,-0.0133037217334767
2011-08-16,0.0110842533751219,0.0107181545860083,0.0113722954493248
2011-08-17,0.006241852244979,-0.0263157894736842,0.0270270734684359
2011-08-18,-0.0220968136716796,-0.0478841173074693,-0.0068285394919562
2011-08-19,-0.0216482106344846,-0.0248520760813172,-0.0186770986511855
2011-08-22,-0.0523121087550187,-0.0211267952470307,-0.0640432038011574
2011-08-23,0.0254836460902483,0.0,0.0459769664951829
2011-08-24,0.0256113536214227,0.0406212852134561,0.0148785883768538
